seed_value,n_true_edges,n_predicted_edges,true_positive_count,true_negative_count,false_positive_count,false_negative_count,total_error_count_simple,targeted_false_positive_count,targeted_false_positive_fraction_of_fp,targeted_error_fraction_of_total_errors,sid,shd,mmd
501,21,13,2,58,11,19,30,3,0.2727272727272727,0.1,77.0,30.0,0.16388690707561904
502,19,12,8,67,4,11,15,1,0.25,0.06666666666666667,50.0,15.0,0.10164259889833467
503,18,17,4,59,13,14,27,1,0.07692307692307693,0.037037037037037035,66.0,27.0,0.08278547174070164
504,12,13,4,69,9,8,17,1,0.1111111111111111,0.058823529411764705,49.0,17.0,0.0941941837499227
505,17,16,3,60,13,14,27,1,0.07692307692307693,0.037037037037037035,80.0,27.0,0.11094185370472605
506,20,14,5,61,9,15,24,1,0.1111111111111111,0.041666666666666664,75.0,24.0,0.13159436306190184
507,22,18,6,56,12,16,28,1,0.08333333333333333,0.03571428571428571,66.0,28.0,0.10282244353846574
