method_family,confidence,metric,n_seed_slopes,mean_slope,std_slope,median_slope,min_slope,max_slope
hard_exclusion,,sid,7,8.5,12.041594578792296,6.499999999999999,-5.0,32.0
hard_exclusion,,shd,7,7.357142857142857,5.30498417932204,5.0,2.5,17.0
hard_exclusion,,mmd,7,0.011010286242927369,0.020255753180175546,0.008212711326679695,-0.02276999824326338,0.043120197474151696
hard_exclusion,,edge_count_from_thresholded_adjacency,7,0.6428571428571429,2.2677868380553634,-0.49999999999999994,-1.4999999999999998,4.0
soft_frobenius,0.0,sid,7,0.0,0.0,0.0,0.0,0.0
soft_frobenius,0.0,shd,7,0.0,0.0,0.0,0.0,0.0
soft_frobenius,0.0,mmd,7,0.0,0.0,0.0,0.0,0.0
soft_frobenius,0.0,edge_count_from_thresholded_adjacency,7,0.0,0.0,0.0,0.0,0.0
soft_frobenius,0.25,sid,7,-0.28571428571428575,3.1997023671109215,0.0,-6.999999999999999,2.999999999999999
soft_frobenius,0.25,shd,7,0.5714285714285714,0.8864052604279182,3.469446951953614e-17,-0.49999999999999994,1.4999999999999998
soft_frobenius,0.25,mmd,7,0.006178428434234376,0.00398896519467616,0.006342628957346462,0.000419633118115062,0.012422698520410377
soft_frobenius,0.25,edge_count_from_thresholded_adjacency,7,0.2857142857142857,0.6362090102803517,3.469446951953614e-17,-0.49999999999999994,1.4999999999999998
soft_frobenius,0.5,sid,7,0.0714285714285713,3.087995188745326,0.0,-5.999999999999999,3.499999999999999
soft_frobenius,0.5,shd,7,1.2142857142857142,1.3801311186847085,1.0,0.0,4.0
soft_frobenius,0.5,mmd,7,0.012016442099896388,0.008522772358617143,0.012367704806848167,0.0003529557445520192,0.025081613473485892
soft_frobenius,0.5,edge_count_from_thresholded_adjacency,7,0.35714285714285715,0.9880235200593537,0.5,-1.4999999999999998,1.4999999999999998
soft_frobenius,0.75,sid,7,0.5714285714285713,4.197504927816954,1.3877787807814457e-16,-6.999999999999999,6.999999999999999
soft_frobenius,0.75,shd,7,1.9285714285714284,1.858058382393016,1.4999999999999998,0.5000000000000001,5.999999999999999
soft_frobenius,0.75,mmd,7,0.01327162430225161,0.009811047928825641,0.014312863358820656,0.00015787676240279489,0.029812916580306326
soft_frobenius,0.75,edge_count_from_thresholded_adjacency,7,0.5,0.9999999999999999,0.5,-1.0,1.9999999999999998
soft_frobenius,1.0,sid,7,3.0714285714285716,3.245876505000503,3.0000000000000004,-0.9999999999999993,6.999999999999999
soft_frobenius,1.0,shd,7,2.7142857142857144,2.017778127403648,2.0,0.5000000000000001,5.5
soft_frobenius,1.0,mmd,7,0.015600081176019503,0.01016247700108877,0.01880012072026636,0.0015669495906401735,0.028519654596194353
soft_frobenius,1.0,edge_count_from_thresholded_adjacency,7,0.28571428571428575,1.2535663410560174,0.0,-1.4999999999999998,2.5
