run_id,method_family,seed_value,corruption_fraction,confidence,intervention_id,target_node,value_raw,mmd_value,mmd_status,bandwidth_used,bandwidth_sweep_0_5x,bandwidth_sweep_1_0x,bandwidth_sweep_2_0x,sampler_status_for_intervention,sampler_reason
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X2_neg2,2,-2.0,0.1434567727040436,available,131.37248112226214,0.14589241611543363,0.1434567727040436,0.10538180095916994,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X2_pos2,2,2.0,0.13321747521984695,available,131.187526319075,0.13948091858555317,0.13321747521984695,0.09272923150033452,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X3_neg2,3,-2.0,0.03542066169092711,available,342.2639077038342,0.03790261650351223,0.03542066169092711,0.03055221944168518,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X3_pos2,3,2.0,0.04326526391407898,available,360.38327940349166,0.04341258376878032,0.04326526391407898,0.03982918916368616,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X4_neg2,4,-2.0,0.19407295122928875,available,212.55007875156133,0.1710644393144573,0.19407295122928875,0.18474937679551645,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X4_pos2,4,2.0,0.20670835755577127,available,218.9427410746129,0.18342157963130443,0.20670835755577127,0.19438764338836362,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X5_neg2,5,-2.0,0.026652347688954248,available,272.8809246728646,0.03209640544159703,0.026652347688954248,0.01947739204862886,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X5_pos2,5,2.0,0.03913957911234345,available,258.71531704182036,0.04415033791534728,0.03913957911234345,0.030945272490508935,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X6_neg2,6,-2.0,0.6235004929079702,available,513.4180530116737,0.5379455588018178,0.6235004929079702,0.615038323760221,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X6_pos2,6,2.0,0.5940293161322153,available,468.6247017302389,0.5163696066430455,0.5940293161322153,0.5818823166488049,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X7_neg2,7,-2.0,0.2326350227556801,available,122.00179106273825,0.20080523931928018,0.2326350227556801,0.21099301212310018,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X7_pos2,7,2.0,0.2859689789649053,available,133.99945135570604,0.2547960165600426,0.2859689789649053,0.25380617178204423,available,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,hard_exclusion,501,0.4,,do_X8_neg2,8,-2.0,0.056859609487059204,available,146.8663555901467,0.06762217866076733,0.056859609487059204,0.0378195141573785,available,
