run_id,configuration_hash_full,configuration_hash_prefix,record_path,method_family,seed_value,seed_population,confidence,corruption_fraction,corruption_index,lambda_prior,matched_l1_lambda1,dagma_lambda1,parent_heldout_run_hash_full,fit_status,metric_status,graph_status,sampler_status,sid,shd,mmd,edge_count_from_thresholded_adjacency,continuous_w_path,thresholded_adjacency_path,true_adjacency_path,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges
hard_exclusion__main_evaluation__seed503__cfg10d4b6379143,10d4b6379143af4c8a628774eed1373e9f718a77be189703ad8f31505778f2a3,10d4b6379143,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed503__cfg10d4b6379143.json,hard_exclusion,503,main_evaluation,,0.8,4,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,83.0,29.0,0.11892943171834262,13,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfg10d4b6379143/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfg10d4b6379143/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfg10d4b6379143/true_adjacency.npz,10,0.0,0.0,0.10685673820895983
hard_exclusion__main_evaluation__seed503__cfg6046ab985b54,6046ab985b5439d90a12ba78980fbcd069e01571719ae6bb998f248b5d7e4654,6046ab985b54,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed503__cfg6046ab985b54.json,hard_exclusion,503,main_evaluation,,0.0,0,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,79.0,24.0,0.09602176730477484,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfg6046ab985b54/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfg6046ab985b54/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfg6046ab985b54/true_adjacency.npz,10,0.0,0.0,0.11014189264336767
hard_exclusion__main_evaluation__seed503__cfg844ec0d7d8b2,844ec0d7d8b2ae8432a3e68bb6af2566e8aeae4fe7a01718676e5116d2fe21ef,844ec0d7d8b2,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed503__cfg844ec0d7d8b2.json,hard_exclusion,503,main_evaluation,,0.2,1,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,82.0,28.0,0.11728541894621178,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfg844ec0d7d8b2/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfg844ec0d7d8b2/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfg844ec0d7d8b2/true_adjacency.npz,10,0.0,0.0,0.10216054037046671
hard_exclusion__main_evaluation__seed503__cfgcf5c8b6ead73,cf5c8b6ead73d53d9cc0a65d113d4baac78bdfc326c650303d5526a4b26f2104,cf5c8b6ead73,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed503__cfgcf5c8b6ead73.json,hard_exclusion,503,main_evaluation,,0.4,2,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,81.0,27.0,0.1132586025830589,13,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfgcf5c8b6ead73/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfgcf5c8b6ead73/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfgcf5c8b6ead73/true_adjacency.npz,10,0.0,0.0,0.1053274893036007
hard_exclusion__main_evaluation__seed503__cfge3c940d7f95b,e3c940d7f95b69b6933fd7e287b6e3f673c183f91ead9cee23b81af49c273082,e3c940d7f95b,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed503__cfge3c940d7f95b.json,hard_exclusion,503,main_evaluation,,0.6,3,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,82.0,28.0,0.11728234355207448,12,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfge3c940d7f95b/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfge3c940d7f95b/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed503__cfge3c940d7f95b/true_adjacency.npz,10,0.0,0.0,0.10216897769220826
hard_exclusion__main_evaluation__seed504__cfg37c474a23075,37c474a230753e86e99ffa7602e067e5215348d8d975165a2987564d4980a9a6,37c474a23075,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed504__cfg37c474a23075.json,hard_exclusion,504,main_evaluation,,0.8,4,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,50.0,17.0,0.08235013135324701,9,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfg37c474a23075/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfg37c474a23075/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfg37c474a23075/true_adjacency.npz,10,0.0,0.0,0.09418851532486101
hard_exclusion__main_evaluation__seed504__cfg984453f12660,984453f12660c73b3b0479394c29a5c5a4c875e5e6acba360918e885bad90278,984453f12660,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed504__cfg984453f12660.json,hard_exclusion,504,main_evaluation,,0.2,1,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,48.0,18.0,0.09250096187749123,10,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfg984453f12660/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfg984453f12660/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfg984453f12660/true_adjacency.npz,10,0.0,0.0,0.09221285310131169
hard_exclusion__main_evaluation__seed504__cfga6956031db7f,a6956031db7f3dace86ce426b09590ca37c61b17475ef18bf293b1b6e318d20e,a6956031db7f,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed504__cfga6956031db7f.json,hard_exclusion,504,main_evaluation,,0.0,0,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,44.0,13.0,0.09487942594593772,9,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfga6956031db7f/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfga6956031db7f/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfga6956031db7f/true_adjacency.npz,10,0.0,0.0,0.0920855603241828
hard_exclusion__main_evaluation__seed504__cfgadd0fecc0c6e,add0fecc0c6e9d62aadb69a9be4e76466f3fde566b3f93da345df55eb58c776b,add0fecc0c6e,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed504__cfgadd0fecc0c6e.json,hard_exclusion,504,main_evaluation,,0.4,2,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,57.0,15.0,0.10020267792544502,9,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfgadd0fecc0c6e/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfgadd0fecc0c6e/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfgadd0fecc0c6e/true_adjacency.npz,10,0.0,0.0,0.0967397477723669
hard_exclusion__main_evaluation__seed504__cfgc18e78bbd942,c18e78bbd942452fbc816273bd9a3a7367431dccc3fc581438a355d6e977fc57,c18e78bbd942,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed504__cfgc18e78bbd942.json,hard_exclusion,504,main_evaluation,,0.6,3,,,0.1,88da382e8672650e44f44e675011dda1a81868c9075acb86faef6c6caf23fd17,success,computed,valid_dag,available,35.0,15.0,0.07201955457634589,9,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfgc18e78bbd942/continuous_w.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfgc18e78bbd942/thresholded_adjacency.npz,results/main_study/166c792c43bc/artefacts/hard_exclusion__main_evaluation__seed504__cfgc18e78bbd942/true_adjacency.npz,10,0.0,0.0,0.09355460887734801
