condition_label,method_family,corruption_fraction,confidence,metric,n,mean,std,median,min,max
prior_free,prior_free,,,sid,7,65.71428571428571,15.195550727260986,74.0,44.0,79.0
prior_free,prior_free,,,shd,7,20.857142857142858,5.209880722517277,22.0,13.0,28.0
prior_free,prior_free,,,mmd,7,0.12082792031092161,0.024081786440972797,0.11558979414323323,0.09487994554137902,0.16619515131854726
prior_free,prior_free,,,edge_count_from_thresholded_adjacency,7,11.285714285714286,1.889822365046136,11.0,9.0,14.0
matched_l1,matched_l1,,,sid,7,65.71428571428571,15.195550727260986,74.0,44.0,79.0
matched_l1,matched_l1,,,shd,7,20.857142857142858,5.209880722517277,22.0,13.0,28.0
matched_l1,matched_l1,,,mmd,7,0.12082792031092161,0.024081786440972797,0.11558979414323323,0.09487994554137902,0.16619515131854726
matched_l1,matched_l1,,,edge_count_from_thresholded_adjacency,7,11.285714285714286,1.889822365046136,11.0,9.0,14.0
soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,sid,7,65.0,15.077577170531521,69.0,44.0,83.0
soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,shd,7,20.428571428571427,4.3915503282684,23.0,13.0,25.0
soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,mmd,7,0.1201626538113835,0.023319196102477822,0.11542884512267163,0.09488354694254546,0.1633849206648535
soft_frobenius_clean_conf1,soft_frobenius,0.0,1.0,edge_count_from_thresholded_adjacency,7,10.857142857142858,2.410295378065479,12.0,8.0,13.0
hard_exclusion_clean,hard_exclusion,0.0,,sid,7,62.857142857142854,17.591935381764863,65.0,38.0,84.0
hard_exclusion_clean,hard_exclusion,0.0,,shd,7,19.571428571428573,4.961758520831865,20.0,13.0,25.0
hard_exclusion_clean,hard_exclusion,0.0,,mmd,7,0.11431652512139236,0.02616125844830563,0.11588995321876934,0.0774803549167116,0.15035786114758856
hard_exclusion_clean,hard_exclusion,0.0,,edge_count_from_thresholded_adjacency,7,10.571428571428571,2.14919697074224,12.0,8.0,13.0
