method_family,corruption_fraction,confidence,intervention_id,target_node,value_raw,n,mean_mmd,std_mmd,median_mmd,min_mmd,max_mmd
hard_exclusion,0.0,,do_X0_neg2,0,-2.0,7,0.06231708847286137,0.08208465316233059,0.019526347303513936,0.005056776568969801,0.2356411455651925
hard_exclusion,0.0,,do_X0_pos2,0,2.0,7,0.0626450130880946,0.08770172812546233,0.017414884200026792,0.006332817429762105,0.25188301117175305
hard_exclusion,0.0,,do_X1_neg2,1,-2.0,7,0.08584297309395235,0.08208579123729298,0.06241706176559342,0.0177093815946317,0.25939660110346435
hard_exclusion,0.0,,do_X1_pos2,1,2.0,7,0.08665166473860235,0.08988279893705557,0.06535660352575146,0.0108472767134144,0.2754564398682083
hard_exclusion,0.0,,do_X2_neg2,2,-2.0,7,0.052261587677806594,0.039169751543292546,0.054743686216808196,0.006584888326188754,0.10853221586557277
hard_exclusion,0.0,,do_X2_pos2,2,2.0,7,0.05055564553704724,0.03786426270739882,0.05499661878575984,0.009657906926554771,0.10917487882084415
hard_exclusion,0.0,,do_X3_neg2,3,-2.0,7,0.1443846910194003,0.17860702149564062,0.08548216850116275,0.036574903379008594,0.544140557783639
hard_exclusion,0.0,,do_X3_pos2,3,2.0,7,0.13656301176249364,0.17099863423611933,0.07137994778319068,0.03510730729239436,0.5173893066616826
hard_exclusion,0.0,,do_X4_neg2,4,-2.0,7,0.11516420652046204,0.0818340585781108,0.07993236747906807,0.033050147509381456,0.24605523658473127
hard_exclusion,0.0,,do_X4_pos2,4,2.0,7,0.11554201489226355,0.08566683252735076,0.08096799774995772,0.036575780001993685,0.2509454150869556
hard_exclusion,0.0,,do_X5_neg2,5,-2.0,7,0.23975868429961242,0.2455019310134073,0.09589493468459914,0.026161231241911165,0.5810837880956587
hard_exclusion,0.0,,do_X5_pos2,5,2.0,7,0.24598517291166283,0.2459637599359423,0.11382101044110804,0.03034979336398963,0.597556154847509
hard_exclusion,0.0,,do_X6_neg2,6,-2.0,7,0.20745977688204148,0.23729002240401492,0.1701375404462967,0.04107923487993176,0.7140987838331461
hard_exclusion,0.0,,do_X6_pos2,6,2.0,7,0.20738891702716877,0.2308440405150491,0.140083971464738,0.03892252698768761,0.690747704711425
hard_exclusion,0.0,,do_X7_neg2,7,-2.0,7,0.06195579066933698,0.046984004254760604,0.06873888952653479,0.003012709412204606,0.1330635712673322
hard_exclusion,0.0,,do_X7_pos2,7,2.0,7,0.06271801526252295,0.04295551808278004,0.07174698217868597,0.004857935980125516,0.11117703190463751
hard_exclusion,0.0,,do_X8_neg2,8,-2.0,7,0.08336645616803458,0.05727631199054306,0.07247289954036523,0.010176691401085458,0.16396517939072386
hard_exclusion,0.0,,do_X8_pos2,8,2.0,7,0.07910760635519856,0.05432478336487548,0.06229976509784957,0.010777478918245431,0.1641693514505842
hard_exclusion,0.0,,do_X9_neg2,9,-2.0,7,0.08963920372871893,0.08739359041705083,0.04848835992684114,0.004919477102073355,0.2408449736365687
hard_exclusion,0.0,,do_X9_pos2,9,2.0,7,0.09702298232056565,0.0966093423560668,0.04796911295021117,0.0023297206824518524,0.25126148942040916
hard_exclusion,0.2,,do_X0_neg2,0,-2.0,7,0.05458715047970592,0.0687438111458085,0.011947229035338569,0.0029100344990134475,0.18672778267344975
hard_exclusion,0.2,,do_X0_pos2,0,2.0,7,0.05260935651382927,0.06792522393601058,0.011247861524047553,0.0022447910720487796,0.18916356140999357
hard_exclusion,0.2,,do_X1_neg2,1,-2.0,7,0.09184704986325362,0.0886398273746617,0.08003756109236637,0.007448356097949527,0.2683023600986539
hard_exclusion,0.2,,do_X1_pos2,1,2.0,7,0.09739102319872946,0.09756535396985791,0.08789150037876303,0.006806200234683202,0.28305417516524933
hard_exclusion,0.2,,do_X2_neg2,2,-2.0,7,0.06405930241803319,0.04880653496060385,0.05891114734487096,0.006671626115146434,0.13954180425751017
hard_exclusion,0.2,,do_X2_pos2,2,2.0,7,0.06247053798568316,0.04290599558697306,0.06402837462178151,0.00468118096614234,0.11801372437987173
hard_exclusion,0.2,,do_X3_neg2,3,-2.0,7,0.15938265747234379,0.18853815654665035,0.07923249719478986,0.028491400477129836,0.5441501245498979
hard_exclusion,0.2,,do_X3_pos2,3,2.0,7,0.15207801479048763,0.17508193370488245,0.0659191233081785,0.034693405239512976,0.5174009020040669
