scenario_label,n_seeds,mean_sid_original,mean_sid_after,mean_sid_delta,median_sid_delta,min_sid_delta,max_sid_delta,mean_shd_original,mean_shd_after,mean_shd_delta,median_shd_delta,min_shd_delta,max_shd_delta,mean_n_candidate_edges,mean_n_selected_edges,mean_n_skipped_cycle_edges
actual_reference_forbidden_removal,7,65.71428571428571,64.85714285714286,-0.8571428571428571,0.0,-6.0,0.0,20.857142857142858,20.142857142857142,-0.7142857142857143,-1.0,-2.0,0.0,10.0,10.0,0.0
fp_remove_budget10_exact,7,65.71428571428571,43.0,-22.714285714285715,-23.0,-33.0,-13.0,20.857142857142858,14.142857142857142,-6.714285714285714,-7.0,-9.0,-4.0,6.857142857142857,6.714285714285714,0.0
fp_remove_all_false_positives,7,65.71428571428571,43.142857142857146,-22.571428571428573,-23.0,-33.0,-13.0,20.857142857142858,14.0,-6.857142857142857,-8.0,-9.0,-4.0,6.857142857142857,6.857142857142857,0.0
fn_add_budget10_greedy_acyclic,7,65.71428571428571,59.57142857142857,-6.142857142857143,-4.0,-15.0,-2.0,20.857142857142858,17.428571428571427,-3.4285714285714284,-2.0,-7.0,-2.0,14.0,3.4285714285714284,10.571428571428571
fn_add_full_greedy_acyclic,7,65.71428571428571,59.57142857142857,-6.142857142857143,-4.0,-15.0,-2.0,20.857142857142858,17.428571428571427,-3.4285714285714284,-2.0,-7.0,-2.0,14.0,3.4285714285714284,10.571428571428571
