method_family,corruption_fraction,confidence,intervention_id,target_node,value_raw,n,mean_mmd,std_mmd,median_mmd,min_mmd,max_mmd
hard_exclusion,0.0,,do_X0_neg2,0,-2.0,7,0.07664153904555808,0.0916575093723951,0.009856253813855798,0.004094388511459601,0.20594189916130673
hard_exclusion,0.0,,do_X0_pos2,0,2.0,7,0.07467506027755166,0.09178235499603699,0.01199863821045366,0.005603380738092079,0.21043935588976925
hard_exclusion,0.0,,do_X1_neg2,1,-2.0,7,0.09493454730911233,0.09464034948198743,0.06126687962945426,0.008581127253725507,0.25028324772605304
hard_exclusion,0.0,,do_X1_pos2,1,2.0,7,0.09058447089798653,0.09592655567883185,0.06595139795284283,0.006813463655956087,0.266095774906669
hard_exclusion,0.0,,do_X2_neg2,2,-2.0,7,0.050989234862722534,0.04332175717686997,0.040209123164359095,0.005553492514128178,0.1064509935576351
hard_exclusion,0.0,,do_X2_pos2,2,2.0,7,0.04749385014330646,0.04168039771209298,0.03465963104038566,0.008020142274593745,0.10298843608141683
hard_exclusion,0.0,,do_X3_neg2,3,-2.0,7,0.07073979215816452,0.028227791348798173,0.059914033076232776,0.04208743789729741,0.11553651200787346
hard_exclusion,0.0,,do_X3_pos2,3,2.0,7,0.06682089244382944,0.03315673643346961,0.05409701961651403,0.04266257249507882,0.1364924834209329
hard_exclusion,0.0,,do_X4_neg2,4,-2.0,7,0.12143786907196263,0.09384983328487058,0.08816907956173364,0.03771220183798235,0.27441925704423825
hard_exclusion,0.0,,do_X4_pos2,4,2.0,7,0.1214235971192775,0.09896085319393126,0.08402025653703687,0.03715106888579134,0.2802630625702184
hard_exclusion,0.0,,do_X5_neg2,5,-2.0,7,0.22683447767835374,0.22641097029003204,0.09187066086111062,0.023081017179564456,0.5379485951397734
hard_exclusion,0.0,,do_X5_pos2,5,2.0,7,0.23106783656863214,0.22158659585270957,0.11221495307579576,0.029787139043657596,0.5405576752039314
hard_exclusion,0.0,,do_X6_neg2,6,-2.0,7,0.16634426859957602,0.211436656429105,0.09012487684355291,0.04371696618949428,0.6325797101251828
hard_exclusion,0.0,,do_X6_pos2,6,2.0,7,0.16652968789457875,0.20609079605125796,0.07375127379644686,0.03754308507111487,0.6130342309859474
hard_exclusion,0.0,,do_X7_neg2,7,-2.0,7,0.05629396411929124,0.0478554711766925,0.06101094185149292,0.004383836009288489,0.13519337197180653
hard_exclusion,0.0,,do_X7_pos2,7,2.0,7,0.0587527122786352,0.05072538883168665,0.06294164505845168,0.004985361456260939,0.13782331653371926
hard_exclusion,0.0,,do_X8_neg2,8,-2.0,7,0.07861438369023478,0.056116123631371605,0.06461487862478194,0.005086144119378078,0.1524833202904829
hard_exclusion,0.0,,do_X8_pos2,8,2.0,7,0.07738937772415784,0.05698869027060006,0.060802525394292595,0.003959657543573192,0.16963300488632427
hard_exclusion,0.0,,do_X9_neg2,9,-2.0,7,0.0826197156250293,0.09236321677628895,0.04187838636238772,0.0011233530318983664,0.24133851708459259
hard_exclusion,0.0,,do_X9_pos2,9,2.0,7,0.0837656841659693,0.0972726887225965,0.03819890093726047,0.001075075536535408,0.2325702979653383
hard_exclusion,0.2,,do_X0_neg2,0,-2.0,7,0.0747489273030035,0.0986423062016353,0.010839736766001418,0.0010152201439269093,0.22182626927525395
hard_exclusion,0.2,,do_X0_pos2,0,2.0,7,0.07322286269191669,0.09832942416762329,0.013215431942075417,0.0007638878404789828,0.23118819376751
hard_exclusion,0.2,,do_X1_neg2,1,-2.0,7,0.09247393351464532,0.08734092371015309,0.09200265732130425,0.006819727388576335,0.2634744678323246
hard_exclusion,0.2,,do_X1_pos2,1,2.0,7,0.0896598354592337,0.09325282127892158,0.08452461775095377,0.004671860184589316,0.27368665927991254
hard_exclusion,0.2,,do_X2_neg2,2,-2.0,7,0.05536225217258401,0.04145478722027941,0.0527887504356363,0.004595778182479138,0.10644700649701483
hard_exclusion,0.2,,do_X2_pos2,2,2.0,7,0.050055156321804774,0.03611465229417829,0.06633495013441648,0.002490363264080253,0.10298371000652956
hard_exclusion,0.2,,do_X3_neg2,3,-2.0,7,0.1011438526651345,0.07858612409427965,0.0781495667283022,0.03913906033950609,0.2629431159775676
hard_exclusion,0.2,,do_X3_pos2,3,2.0,7,0.09272565452499891,0.067235903705387,0.06484689709879515,0.03797778648468608,0.2223693928857861
hard_exclusion,0.2,,do_X4_neg2,4,-2.0,7,0.0896808914868691,0.07441745654858846,0.06511620717361072,0.028241387535534734,0.24576362923105938
hard_exclusion,0.2,,do_X4_pos2,4,2.0,7,0.0944651674212609,0.07510503449836782,0.08322390623032139,0.027492375892996024,0.25427803045555913
hard_exclusion,0.2,,do_X5_neg2,5,-2.0,7,0.1312551688770236,0.1732886435288054,0.06797106911899597,0.015405620128570718,0.5120028055901882
hard_exclusion,0.2,,do_X5_pos2,5,2.0,7,0.13892434796132735,0.18029073034812543,0.06616153156307275,0.021846793395882746,0.5298047462306397
hard_exclusion,0.2,,do_X6_neg2,6,-2.0,7,0.24423114329077283,0.23847905843529715,0.16509287957743057,0.0374415688843478,0.6734351123115234
hard_exclusion,0.2,,do_X6_pos2,6,2.0,7,0.2423599658501343,0.21748306900843217,0.17990846253563997,0.03830947063643747,0.6361255965425479
hard_exclusion,0.2,,do_X7_neg2,7,-2.0,7,0.05587252414442727,0.045697550036071406,0.05425144752803912,0.005805462988508092,0.1286111018227475
hard_exclusion,0.2,,do_X7_pos2,7,2.0,7,0.05239962031081556,0.0361514285166458,0.05145757876253382,0.006619523541434469,0.11705712809126811
hard_exclusion,0.2,,do_X8_neg2,8,-2.0,7,0.10070770861739232,0.06369267072596459,0.10892280934847276,0.007309065995143915,0.16766293654746883
hard_exclusion,0.2,,do_X8_pos2,8,2.0,7,0.10366369713622103,0.07177330081000942,0.10599740160727428,0.009119238621315806,0.19971416019244753
hard_exclusion,0.2,,do_X9_neg2,9,-2.0,7,0.09203327973764483,0.07587949552226614,0.07202399368553908,0.0032714520104122347,0.22651332631207177
hard_exclusion,0.2,,do_X9_pos2,9,2.0,7,0.10252461203363342,0.08614676168564131,0.0890482746766923,0.000932030545088891,0.24645498136623678
hard_exclusion,0.4,,do_X0_neg2,0,-2.0,7,0.06771453603910772,0.08548097044192395,0.010760836607442037,0.003195604612860392,0.2067328753176224
hard_exclusion,0.4,,do_X0_pos2,0,2.0,7,0.0682876314273598,0.08819399767565458,0.013218947427693861,0.0007853967908278414,0.1956690986182738
hard_exclusion,0.4,,do_X1_neg2,1,-2.0,7,0.0860677399766041,0.08305651143872088,0.06897147732118047,0.006259737198126669,0.23707784060823534
hard_exclusion,0.4,,do_X1_pos2,1,2.0,7,0.08603946465441677,0.08972399339686295,0.07619616407604096,0.0031688761739545046,0.2580236934219894
hard_exclusion,0.4,,do_X2_neg2,2,-2.0,7,0.058136963379857166,0.0509363985746509,0.03583704451152836,0.00389085262873351,0.14207344094883795
hard_exclusion,0.4,,do_X2_pos2,2,2.0,7,0.05773266719806229,0.054102939826340055,0.03453301068793424,0.003284598771743419,0.15598679666542864
hard_exclusion,0.4,,do_X3_neg2,3,-2.0,7,0.0957085630631563,0.07769124056161832,0.0726937646737218,0.02808281497620435,0.2529414182852949
hard_exclusion,0.4,,do_X3_pos2,3,2.0,7,0.09667347904289951,0.08588303513441142,0.06343800242251257,0.0366548181791192,0.26627845400727435
hard_exclusion,0.4,,do_X4_neg2,4,-2.0,7,0.10566998457410917,0.07804694057378997,0.07184897509625299,0.036876685182488544,0.21915980317600964
hard_exclusion,0.4,,do_X4_pos2,4,2.0,7,0.10131034496424125,0.0763577936838333,0.06508658403886786,0.03855651951113698,0.22801300889027087
hard_exclusion,0.4,,do_X5_neg2,5,-2.0,7,0.17234952984534835,0.18722494629214265,0.09078159722387319,0.0298464021680947,0.5301669132720523
hard_exclusion,0.4,,do_X5_pos2,5,2.0,7,0.1809925164021108,0.19771168886591048,0.10081290733134379,0.03489334058963761,0.5438438277257394
hard_exclusion,0.4,,do_X6_neg2,6,-2.0,7,0.21180702149170733,0.23334275452767939,0.09909258369849683,0.032312620250026736,0.6084530168093464
