method_family,confidence,metric,n_seed_slopes,mean_slope,std_slope,median_slope,min_slope,max_slope
hard_exclusion,,sid,7,8.928571428571429,13.648652471424215,4.5,-1.5000000000000007,38.00000000000001
hard_exclusion,,shd,7,9.071428571428571,6.347102826149446,6.5,3.0000000000000004,18.0
hard_exclusion,,mmd,7,0.026571483419401975,0.016463369752153352,0.019732275395308706,0.008419826694637426,0.0589085100932994
hard_exclusion,,edge_count_from_thresholded_adjacency,7,2.357142857142857,1.625686668105863,2.0,0.49999999999999994,5.0
soft_frobenius,0.0,sid,7,0.0,0.0,0.0,0.0,0.0
soft_frobenius,0.0,shd,7,0.0,0.0,0.0,0.0,0.0
soft_frobenius,0.0,mmd,7,0.0,0.0,0.0,0.0,0.0
soft_frobenius,0.0,edge_count_from_thresholded_adjacency,7,0.0,0.0,0.0,0.0,0.0
soft_frobenius,0.25,sid,7,1.0,5.484827557301445,0.0,-8.0,10.5
soft_frobenius,0.25,shd,7,0.857142857142857,1.0293317295817754,1.0,-0.9999999999999998,1.9999999999999998
soft_frobenius,0.25,mmd,7,0.010583756732333702,0.008976824235276326,0.00844221187995585,0.000441038695530832,0.02681028044220366
soft_frobenius,0.25,edge_count_from_thresholded_adjacency,7,-0.14285714285714277,1.1801936887041646,0.0,-1.4999999999999998,2.0
soft_frobenius,0.5,sid,7,1.4285714285714284,5.061526214398936,1.4999999999999987,-4.5,11.0
soft_frobenius,0.5,shd,7,2.0,0.6454972243679026,2.0,1.0000000000000002,2.9999999999999996
soft_frobenius,0.5,mmd,7,0.014620544170999903,0.011055706258138898,0.014319327394956408,0.00029176782688763997,0.03427251940519688
soft_frobenius,0.5,edge_count_from_thresholded_adjacency,7,0.8571428571428571,1.3758114488755873,1.0,-1.0,2.5
soft_frobenius,0.75,sid,7,1.0714285714285712,6.023762469230861,2.0,-8.0,10.0
soft_frobenius,0.75,shd,7,3.0,1.5,2.5,1.0000000000000002,5.0
soft_frobenius,0.75,mmd,7,0.017957124899591736,0.013831817696457001,0.016931509768777928,0.00024528202223624,0.03711807612109583
soft_frobenius,0.75,edge_count_from_thresholded_adjacency,7,1.0,1.2583057392117916,1.0,-0.9999999999999998,2.5
soft_frobenius,1.0,sid,7,1.0,4.958158260214506,-0.4999999999999998,-4.5,10.0
soft_frobenius,1.0,shd,7,4.000000000000001,2.6457513110645907,4.000000000000001,0.5000000000000001,8.5
soft_frobenius,1.0,mmd,7,0.01905183553204504,0.013361493544210663,0.020968243789355148,0.00017921482475316544,0.03837354181965641
soft_frobenius,1.0,edge_count_from_thresholded_adjacency,7,0.8571428571428571,1.5735915849388862,1.4999999999999998,-1.4999999999999998,2.5
