method_family,corruption_fraction,confidence,n,mean_targeted_abs_w_mean,std_targeted_abs_w_mean,median_targeted_abs_w_mean,mean_fraction_targeted_above_threshold,std_fraction_targeted_above_threshold,median_fraction_targeted_above_threshold,mean_non_targeted_abs_w_mean,std_non_targeted_abs_w_mean,median_non_targeted_abs_w_mean,mean_edge_count,std_edge_count,median_edge_count
hard_exclusion,0.0,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.13329338411050334,0.02075396871474614,0.13426793188941405,13.428571428571429,2.5727509827124,13.0
hard_exclusion,0.2,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.1330136422368073,0.019808668085557188,0.13073725704943231,14.142857142857142,2.7945525240230875,14.0
hard_exclusion,0.4,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.13691510396300538,0.015389361588656955,0.1327062519858831,14.714285714285714,2.2886885410853175,15.0
hard_exclusion,0.6,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.13862734337888344,0.012407606325720999,0.13619362216740433,14.571428571428571,2.370453040886408,13.0
hard_exclusion,0.8,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.13863353735277148,0.021938323990776862,0.1387237065270877,15.571428571428571,2.9358214555806383,17.0
matched_l1,,,7,,,,,,,,,,14.285714285714286,2.4299715851758235,13.0
prior_free,,,7,,,,,,,,,,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.0,0.0,7,0.08883341253400627,0.06541144147373616,0.057408596554234824,0.1285714285714286,0.07559289460184544,0.1,0.13020956677043202,0.018303757983156345,0.12712097806671804,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.0,0.25,7,0.06205155259755957,0.03823180889965413,0.044243774014292796,0.1,0.05773502691896258,0.1,0.12986732879524032,0.02103587519357368,0.12762473056491488,14.571428571428571,2.760262237369417,14.0
soft_frobenius,0.0,0.5,7,0.04755253195943388,0.02740215189753204,0.03718905032672938,0.042857142857142864,0.05345224838248488,0.0,0.1311749379897659,0.021461080215550626,0.12799882032881857,14.285714285714286,2.984084768360628,13.0
soft_frobenius,0.0,0.75,7,0.03900850941883293,0.021661846228433257,0.03228155637959084,0.028571428571428574,0.048795003647426664,0.0,0.13200981851503935,0.02156992871875096,0.12833684703551002,14.285714285714286,2.9277002188455996,13.0
soft_frobenius,0.0,1.0,7,0.029899013150667238,0.02157743771512643,0.028565416247749997,0.028571428571428574,0.048795003647426664,0.0,0.13308383364196144,0.022429543966178554,0.1286628492999713,14.428571428571429,2.819996622760558,13.0
soft_frobenius,0.2,0.0,7,0.10303406072053485,0.05185066567117782,0.08275603609149154,0.1285714285714286,0.07559289460184546,0.1,0.12843448574711597,0.01740752831978285,0.12106877647297054,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.2,0.25,7,0.07920371642790816,0.03490103679663363,0.07522133709593223,0.1142857142857143,0.06900655593423542,0.1,0.12769785292314076,0.019627370117929397,0.12050925170108188,15.0,3.265986323710904,14.0
soft_frobenius,0.2,0.5,7,0.058287765375649385,0.029062979747589854,0.04397140201031925,0.07142857142857142,0.048795003647426664,0.1,0.1292200321344901,0.021737892158015595,0.120390232734395,14.857142857142858,3.2877840272018797,13.0
