method_family,corruption_fraction,confidence,n,sid_mean,sid_std,sid_median,shd_mean,shd_std,shd_median,mmd_mean,mmd_std,mmd_median,edge_count_mean,edge_count_std,edge_count_median
hard_exclusion,0.0,,7,65.0,15.275252316519467,74.0,22.428571428571427,7.020378500174637,21.0,0.1021976480836965,0.02527737751159345,0.09789171912574243,13.428571428571429,2.5727509827124,13.0
hard_exclusion,0.2,,7,66.85714285714286,12.941259230700483,74.0,25.714285714285715,6.047431568147636,24.0,0.10387553007604221,0.026439094150853142,0.10132999647574403,14.142857142857142,2.7945525240230875,14.0
hard_exclusion,0.4,,7,71.28571428571429,11.785786435565592,76.0,27.142857142857142,5.0142653642240695,27.0,0.10708651085274659,0.03269350814857169,0.09770125550446204,14.714285714285714,2.2886885410853175,15.0
hard_exclusion,0.6,,7,71.28571428571429,14.851647335276601,78.0,27.0,6.708203932499369,29.0,0.11604025630112894,0.0307407950738625,0.11847674423695438,14.571428571428571,2.370453040886408,13.0
hard_exclusion,0.8,,7,71.71428571428571,11.714866419985132,76.0,30.857142857142858,5.5805785670356025,31.0,0.1226867683905551,0.023882071393678792,0.11715965316254189,15.571428571428571,2.9358214555806383,17.0
matched_l1,,,7,67.57142857142857,13.476611132589959,75.0,24.142857142857142,5.429197958832453,26.0,0.11844401972427125,0.023055050615865724,0.10703643285789892,14.285714285714286,2.4299715851758235,13.0
prior_free,,,7,66.14285714285714,12.535663410560174,66.0,24.0,5.773502691896257,27.0,0.11255254596709595,0.027194398221777705,0.10282244353846574,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.0,0.0,7,66.14285714285714,12.535663410560174,66.0,24.0,5.773502691896257,27.0,0.11255254596709595,0.027194398221777705,0.10282244353846574,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.0,0.25,7,66.71428571428571,13.573433435873742,66.0,23.571428571428573,5.380741673076394,26.0,0.11175032789454818,0.027713255856338073,0.10164095799903924,14.571428571428571,2.760262237369417,14.0
soft_frobenius,0.0,0.5,7,67.71428571428571,12.45945806357946,73.0,23.285714285714285,5.589105048046175,26.0,0.11180306045278819,0.027860196485307125,0.10246298208226065,14.285714285714286,2.984084768360628,13.0
soft_frobenius,0.0,0.75,7,68.42857142857143,13.201731488169052,73.0,23.285714285714285,5.6484300389366515,25.0,0.1120293107482342,0.027576727170356658,0.10246097151135163,14.285714285714286,2.9277002188455996,13.0
soft_frobenius,0.0,1.0,7,69.71428571428571,13.363062095621219,75.0,23.714285714285715,5.55920515044749,27.0,0.11368536126029237,0.025615815498877523,0.1024646394337985,14.428571428571429,2.819996622760558,13.0
soft_frobenius,0.2,0.0,7,66.14285714285714,12.535663410560174,66.0,24.0,5.773502691896257,27.0,0.11255254596709595,0.027194398221777705,0.10282244353846574,14.714285714285714,2.2886885410853175,14.0
soft_frobenius,0.2,0.25,7,67.57142857142857,13.562904591287994,73.0,24.0,5.773502691896257,26.0,0.11237425615752146,0.028066193540136352,0.10257752306021879,15.0,3.265986323710904,14.0
soft_frobenius,0.2,0.5,7,69.71428571428571,13.237752650585946,75.0,24.142857142857142,6.283008075451637,28.0,0.11497442129193539,0.02606539620397083,0.10265971099285616,14.857142857142858,3.2877840272018797,13.0
soft_frobenius,0.2,0.75,7,69.71428571428571,13.237752650585946,75.0,24.142857142857142,6.283008075451637,28.0,0.11528923538422768,0.026311096750237465,0.10272499155987443,14.857142857142858,3.2877840272018797,13.0
soft_frobenius,0.2,1.0,7,70.14285714285714,13.409307357560412,76.0,24.571428571428573,6.347102826149446,28.0,0.11558395221546058,0.026464097960391637,0.10484620743657394,15.0,3.1622776601683795,13.0
