seed,train_data_seed,target_i,target_j,target_threshold_used,lambda_prior,base_abs,soft_abs,ratio,reduction_percent,candidate_status,passes,step_a_zero_mask_delta,step_a_zero_lambda_delta
401,401,4,3,0.3,2e-05,0.7549146335235175,0.7256433963733461,0.9612257653377976,3.8774234662202423,too_weak,False,0.0,0.0
401,401,4,3,0.3,5e-05,0.7549146335235175,0.6846812163542191,0.9069650871099315,9.30349128900685,too_weak,False,0.0,0.0
401,401,4,3,0.3,0.0001,0.7549146335235175,0.6256080495227558,0.8287136342857322,17.12863657142678,too_weak,False,0.0,0.0
401,401,4,3,0.3,0.0002,0.7549146335235175,0.12691999970138867,0.16812496945382738,83.18750305461727,passed,True,0.0,0.0
401,401,4,3,0.3,0.0005,0.7549146335235175,0.06116404502104892,0.0810211410733549,91.8978858926645,passed,True,0.0,0.0
401,401,4,3,0.3,0.001,0.7549146335235175,0.03254262675596522,0.0431076910035172,95.68923089964828,too_strong,False,0.0,0.0
402,402,5,2,0.3,2e-05,0.809072893593143,0.7779163421607891,0.961491045270364,3.8508954729636002,too_weak,False,0.0,0.0
402,402,5,2,0.3,5e-05,0.809072893593143,0.6805659590173038,0.841167667841235,15.883233215876501,too_weak,False,0.0,0.0
402,402,5,2,0.3,0.0001,0.809072893593143,0.5378665040711315,0.6647936277810925,33.520637221890745,too_weak,False,0.0,0.0
402,402,5,2,0.3,0.0002,0.809072893593143,0.35850779630202206,0.4431093899461477,55.689061005385234,passed,True,0.0,0.0
402,402,5,2,0.3,0.0005,0.809072893593143,0.17675091189590428,0.21846104757130408,78.1538952428696,passed,True,0.0,0.0
402,402,5,2,0.3,0.001,0.809072893593143,0.07779910182997979,0.09615833436770961,90.38416656322904,passed,True,0.0,0.0
