run_id,configuration_hash_prefix,configuration_hash_full,method_family,final_status,was_overwritten,record_path,runtime_seconds,message
soft_frobenius__main_evaluation__seed501__cfgd8b09dc8a147,d8b09dc8a147,d8b09dc8a1472fe1d296ba23ad35812379936e2e07ff43d6133c3eac41e3df43,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfgd8b09dc8a147.json,11.369737999993959,
soft_frobenius__main_evaluation__seed501__cfg91555d28fcdc,91555d28fcdc,91555d28fcdc62a81e387b02f94de81a5bbd30008a5b99cc7acebad03daf9819,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg91555d28fcdc.json,10.642857099999674,
soft_frobenius__main_evaluation__seed501__cfg9a7545052a8b,9a7545052a8b,9a7545052a8b3f14f9668269a95da06dd6957d0f10ef16e20b0e75c9ce92161b,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg9a7545052a8b.json,10.157664600003045,
soft_frobenius__main_evaluation__seed501__cfg41498788729f,41498788729f,41498788729f8e28bc1cf8a84f2130d1b912646a739b104ffd2aac63f99a0e5b,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg41498788729f.json,10.035845499995048,
soft_frobenius__main_evaluation__seed501__cfga7819e486e79,a7819e486e79,a7819e486e79512ba733e78d3ce983ecca728a3bcc4e22fa1a10dc4ca1f0d45b,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfga7819e486e79.json,11.531063599992194,
soft_frobenius__main_evaluation__seed501__cfg70b8cf4273fd,70b8cf4273fd,70b8cf4273fd2651a692f1ee1e7c4e15f91259107b0d511e2a52e0371262811c,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfg70b8cf4273fd.json,11.802031199986232,
soft_frobenius__main_evaluation__seed501__cfgd813a38006d4,d813a38006d4,d813a38006d415bf317ba1db97939393491c43e044385529d9a3f121ff2b13e4,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed501__cfgd813a38006d4.json,10.27921680000145,
hard_exclusion__main_evaluation__seed501__cfgd76e5f77baf0,d76e5f77baf0,d76e5f77baf0a11e5aa1b8c5c11554218163370b87e77fc914c7514260cddc98,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfgd76e5f77baf0.json,10.068106300008367,
hard_exclusion__main_evaluation__seed501__cfg63637ce11a59,63637ce11a59,63637ce11a59cb111458dd72d4db477a4b0a964f3996c9ba49674c85555c00bc,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfg63637ce11a59.json,9.604213700004038,
hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9,48fb49c729c9,48fb49c729c9902c463c0e5e0ee98f6facf5353a8bb0719b65fa3ff278eef144,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfg48fb49c729c9.json,8.961965299997246,
hard_exclusion__main_evaluation__seed501__cfg16d1765e8027,16d1765e8027,16d1765e80273a272864ab3643784a31c4aed1f57d0ba257da85b75fe5ef8774,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfg16d1765e8027.json,9.692408699993393,
hard_exclusion__main_evaluation__seed501__cfgb1b657091ecc,b1b657091ecc,b1b657091ecc9f342fcef5e437b9670c1da77b999af42d0080fbd02558df3c54,hard_exclusion,success_computed,False,results/main_study/166c792c43bc/records/hard_exclusion__main_evaluation__seed501__cfgb1b657091ecc.json,10.470964300009655,
prior_free__main_evaluation__seed502__cfg81d40259a27c,81d40259a27c,81d40259a27c164f2c0494f057a0f0644ffc1fdafd75420695d89f2dd53c66d1,prior_free,success_computed,False,results/main_study/166c792c43bc/records/prior_free__main_evaluation__seed502__cfg81d40259a27c.json,10.18025679999846,
matched_l1__main_evaluation__seed502__cfg67aa5142e677,67aa5142e677,67aa5142e677234235182ccc56757385a92f986c7b4398ce5f79aaccd0e29889,matched_l1,success_computed,False,results/main_study/166c792c43bc/records/matched_l1__main_evaluation__seed502__cfg67aa5142e677.json,9.682149000000209,
soft_frobenius__main_evaluation__seed502__cfgf95e2cd848c5,f95e2cd848c5,f95e2cd848c5a130ac8f99e7d4eb367ace50d9715fabb111abf3bae722605862,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfgf95e2cd848c5.json,6.415431400004309,
soft_frobenius__main_evaluation__seed502__cfgba56bd2dff4b,ba56bd2dff4b,ba56bd2dff4bec54df4744b0d4573ee2ea18dc3206168ecb90c6d8e2d1b74d01,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfgba56bd2dff4b.json,6.905555599994841,
soft_frobenius__main_evaluation__seed502__cfg6dafef88571a,6dafef88571a,6dafef88571a4b52eb0cf2782ebc63f4b5d8bf96bd6b18eb332ab01a0ceaa972,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed502__cfg6dafef88571a.json,6.858378899996751,
