seed_value,n_true_edges,n_predicted_edges,true_positive_count,true_negative_count,false_positive_count,false_negative_count,total_error_count_simple,targeted_false_positive_count,targeted_false_positive_fraction_of_fp,targeted_error_fraction_of_total_errors,sid,shd,mmd
501,21,11,2,60,9,19,28,2,0.2222222222222222,0.07142857142857142,78.0,28.0,0.16619515131854726
502,19,12,8,67,4,11,15,1,0.25,0.06666666666666667,50.0,15.0,0.11286900258444439
503,18,13,4,63,9,14,23,0,0.0,0.0,79.0,23.0,0.10221424980492717
504,12,9,4,73,5,8,13,0,0.0,0.0,44.0,13.0,0.09487994554137902
505,17,11,3,65,8,14,22,0,0.0,0.0,79.0,22.0,0.11558979414323323
506,20,9,4,65,5,16,21,1,0.2,0.047619047619047616,74.0,21.0,0.13784229997022548
507,22,14,6,60,8,16,24,1,0.125,0.041666666666666664,56.0,24.0,0.1162049988136947
