scenario_label,n_seeds,mean_sid_original,mean_sid_after,mean_sid_delta,median_sid_delta,min_sid_delta,max_sid_delta,mean_shd_original,mean_shd_after,mean_shd_delta,median_shd_delta,min_shd_delta,max_shd_delta,mean_n_candidate_edges,mean_n_selected_edges,mean_n_skipped_cycle_edges
actual_reference_forbidden_removal,7,66.14285714285714,65.57142857142857,-0.5714285714285714,0.0,-6.0,3.0,24.0,22.714285714285715,-1.2857142857142858,-1.0,-3.0,-1.0,10.0,10.0,0.0
fp_remove_budget10_exact,7,66.14285714285714,41.285714285714285,-24.857142857142858,-25.0,-34.0,-13.0,24.0,15.142857142857142,-8.857142857142858,-10.0,-10.0,-4.0,10.142857142857142,8.857142857142858,0.0
fp_remove_all_false_positives,7,66.14285714285714,42.714285714285715,-23.428571428571427,-25.0,-34.0,-13.0,24.0,13.857142857142858,-10.142857142857142,-11.0,-13.0,-4.0,10.142857142857142,10.142857142857142,0.0
fn_add_budget10_greedy_acyclic,7,66.14285714285714,60.857142857142854,-5.285714285714286,-3.0,-14.0,0.0,24.0,21.142857142857142,-2.857142857142857,-2.0,-6.0,0.0,13.857142857142858,2.857142857142857,11.0
fn_add_full_greedy_acyclic,7,66.14285714285714,60.857142857142854,-5.285714285714286,-3.0,-14.0,0.0,24.0,21.142857142857142,-2.857142857142857,-2.0,-6.0,0.0,13.857142857142858,2.857142857142857,11.0
