condition,model,mean_sid,std_sid,median_sid,q1_sid,q3_sid,iqr_sid,min_sid,max_sid,mean_mmd_primary,std_mmd_primary,median_mmd_primary,q1_mmd_primary,q3_mmd_primary,iqr_mmd_primary,min_mmd_primary,max_mmd_primary,mean_shd,std_shd,median_shd,q1_shd,q3_shd,iqr_shd,min_shd,max_shd,mean_runtime_seconds,std_runtime_seconds,training_status_counts_json,graph_status_counts_json,sampler_status_counts_json
centred_only,dagma,4.2,6.016643582596529,0.0,0.0,8.0,8.0,0.0,13.0,0.005814472573953375,0.007232201879947656,0.0032764204885345843,0.002154124142866101,0.004721405279772059,0.002567281136905958,0.00047128080441082856,0.0184491321541833,1.0,1.4142135623730951,0.0,0.0,2.0,2.0,0.0,3.0,1.0513981799944303,0.1240430690626508,"{""converged"": 5}","{""valid_dag"": 5}","{""available"": 5}"
centred_only,dcdi,63.4,13.164345787011218,69.0,51.0,71.0,20.0,48.0,78.0,0.11588378616596792,0.013955417414621984,0.12001970322751579,0.10631815594371,0.12734844766889647,0.021030291725186473,0.09673003539130162,0.12900258859841576,30.4,5.504543577809154,31.0,28.0,32.0,4.0,23.0,38.0,976.6540220399969,89.05236208252997,"{""converged"": 5}","{""valid_dag"": 5}","{""available"": 5}"
standardised,dagma,66.6,3.2093613071762426,65.0,64.0,69.0,5.0,64.0,71.0,0.12135898121296962,0.05366230584345379,0.09721597837705162,0.09451157024966125,0.10506762974135164,0.01055605949169039,0.0930076138867018,0.21699211381008174,25.8,2.16794833886788,26.0,25.0,26.0,1.0,23.0,29.0,1.4749967600102536,0.3303291200462513,"{""converged"": 5}","{""valid_dag"": 5}","{""available"": 5}"
standardised,dcdi,68.8,16.361540269791227,76.0,59.0,80.0,21.0,45.0,84.0,0.14197222340635784,0.012200027985418724,0.14520574250117319,0.13299423652141637,0.1485238300548259,0.01552959353340952,0.1263855457497403,0.1567517622046334,29.6,3.2863353450309964,29.0,27.0,33.0,6.0,26.0,33.0,902.6897642000113,85.53104103399214,"{""converged"": 5}","{""valid_dag"": 5}","{""available"": 5}"
