run_id,configuration_hash_prefix,configuration_hash_full,method_family,final_status,was_overwritten,record_path,runtime_seconds,message
soft_frobenius__main_evaluation__seed501__cfgdccb4f70adc3,dccb4f70adc3,dccb4f70adc31e50b591568baa37a6d3b07a30481c2ebf55ffb8680e23249c68,soft_frobenius,success_computed,False,results/main_study/864fe6722256/records/soft_frobenius__main_evaluation__seed501__cfgdccb4f70adc3.json,9.728231699991738,
soft_frobenius__main_evaluation__seed501__cfgece5b1f44226,ece5b1f44226,ece5b1f44226a587cfe10b40d5a1f13a6f3764079ae9533bb7fa65d4303cce14,soft_frobenius,success_computed,False,results/main_study/864fe6722256/records/soft_frobenius__main_evaluation__seed501__cfgece5b1f44226.json,9.823667500008014,
soft_frobenius__main_evaluation__seed501__cfg1fcf04f10bd4,1fcf04f10bd4,1fcf04f10bd41f5fe52bf3666a4180cee9380589d00efb3bced5efc500ba95f1,soft_frobenius,success_computed,False,results/main_study/864fe6722256/records/soft_frobenius__main_evaluation__seed501__cfg1fcf04f10bd4.json,7.945954700000584,
soft_frobenius__main_evaluation__seed501__cfgb0192b8bc02f,b0192b8bc02f,b0192b8bc02f888c07205a4ed155cf5379c76dfb8467e0d22d08ec0ebffe6d9a,soft_frobenius,success_computed,False,results/main_study/864fe6722256/records/soft_frobenius__main_evaluation__seed501__cfgb0192b8bc02f.json,9.363196500009508,
soft_frobenius__main_evaluation__seed501__cfgdaba6b70da57,daba6b70da57,daba6b70da57c3c3afe9b459768812f05842584009dcdf6b959012917823a39b,soft_frobenius,success_computed,False,results/main_study/864fe6722256/records/soft_frobenius__main_evaluation__seed501__cfgdaba6b70da57.json,9.940259000009974,
soft_frobenius__main_evaluation__seed501__cfg9f588cae96af,9f588cae96af,9f588cae96af7fa99c723abc2a71aed2a7a4cded50534d7b0dc7bc218b3aa90c,soft_frobenius,success_computed,False,results/main_study/864fe6722256/records/soft_frobenius__main_evaluation__seed501__cfg9f588cae96af.json,10.055104300001403,
soft_frobenius__main_evaluation__seed501__cfgec5338b4b1a8,ec5338b4b1a8,ec5338b4b1a81a6b280153f55cefcd079c9c76891600185f122a95e1de3d10cb,soft_frobenius,success_computed,False,results/main_study/864fe6722256/records/soft_frobenius__main_evaluation__seed501__cfgec5338b4b1a8.json,10.543945899989922,
hard_exclusion__main_evaluation__seed501__cfg4ded753ad0d0,4ded753ad0d0,4ded753ad0d0c25010de23795a36e47715084b8c134dc3f6df19d391cacb0350,hard_exclusion,success_computed,False,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfg4ded753ad0d0.json,10.180012700002408,
hard_exclusion__main_evaluation__seed501__cfga1a67b121811,a1a67b121811,a1a67b121811a8560ace88590b872147f2461837d05eb8df5597a9280a4de90e,hard_exclusion,success_computed,False,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfga1a67b121811.json,9.954803600005107,
hard_exclusion__main_evaluation__seed501__cfg40888108099d,40888108099d,40888108099d0af1dc264d6140c2236e91f95127fac2caad0c9714c2ee7d9b08,hard_exclusion,success_computed,False,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfg40888108099d.json,9.799622899998212,
hard_exclusion__main_evaluation__seed501__cfga5f254594059,a5f254594059,a5f25459405982453c54033663698f37b8afc53891a1a06294aa9ba52d63bd45,hard_exclusion,success_computed,False,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfga5f254594059.json,9.881445300008636,
hard_exclusion__main_evaluation__seed501__cfgce0b9f75d46a,ce0b9f75d46a,ce0b9f75d46ae5201a13e3b3fdff42bdc0e87dda73dfcd70602de1c896579cb2,hard_exclusion,success_computed,False,results/main_study/864fe6722256/records/hard_exclusion__main_evaluation__seed501__cfgce0b9f75d46a.json,10.002594800011138,
prior_free__main_evaluation__seed502__cfgc094dd1086bb,c094dd1086bb,c094dd1086bb235e74e0417d56d39736ebd1cef8a2a6129ecba4090a9efa6c41,prior_free,success_computed,False,results/main_study/864fe6722256/records/prior_free__main_evaluation__seed502__cfgc094dd1086bb.json,9.02403570000024,
matched_l1__main_evaluation__seed502__cfg2b27af973c2a,2b27af973c2a,2b27af973c2a2746687ad25b9c5f60466c8bfb7df8839fc7b5b7edec4aa69909,matched_l1,success_computed,False,results/main_study/864fe6722256/records/matched_l1__main_evaluation__seed502__cfg2b27af973c2a.json,9.404367699986324,
soft_frobenius__main_evaluation__seed502__cfg6d0b03d20a80,6d0b03d20a80,6d0b03d20a80fd2a033e7956ebc9ea04b202fad3d0145fd6da8a9ec61b5fcf8b,soft_frobenius,success_computed,False,results/main_study/864fe6722256/records/soft_frobenius__main_evaluation__seed502__cfg6d0b03d20a80.json,9.793963500007521,
