seed,train_data_seed,target_i,target_j,target_threshold_used,lambda_prior,base_abs,soft_abs,ratio,reduction_percent,candidate_status,passes,step_a_zero_mask_delta,step_a_zero_lambda_delta
401,401,4,3,0.3,0.01,0.7549146335235175,0.0035027042737476016,0.004639868030374435,99.53601319696256,too_strong,False,0.0,0.0
401,401,4,3,0.3,0.05,0.7549146335235175,0.00019839022961197378,0.00026279823016014356,99.97372017698399,too_strong,False,0.0,0.0
401,401,4,3,0.3,0.1,0.7549146335235175,0.00016910375240414445,0.00022400380770851283,99.97759961922915,too_strong,False,0.0,0.0
401,401,4,3,0.3,0.5,0.7549146335235175,7.55213957025224e-05,0.00010003964998006587,99.989996035002,too_strong,False,0.0,0.0
402,402,5,2,0.3,0.01,0.809072893593143,0.0009681822400723134,0.0011966563800853045,99.88033436199147,too_strong,False,0.0,0.0
402,402,5,2,0.3,0.05,0.809072893593143,0.00029183359915065674,0.00036070124393193493,99.96392987560681,too_strong,False,0.0,0.0
402,402,5,2,0.3,0.1,0.809072893593143,0.00028163847910579444,0.00034810025318611336,99.9651899746814,too_strong,False,0.0,0.0
402,402,5,2,0.3,0.5,0.809072893593143,0.00022023311673834896,0.00027220429516589044,99.97277957048341,too_strong,False,0.0,0.0
